Origin,colYear,colMonth,prom_arribades
ABE,1988,5,65.0000
ABE,1988,11,20.0000
ABE,1990,1,-2.0000
ABE,1990,12,-3.0000
ABE,1991,7,9.0000
ABE,1992,6,3.0000
ABE,2005,1,-4.0000
ABE,2006,1,38.0000
ABQ,1987,10,0.0000
ABQ,1989,1,0.0000
ABQ,1990,4,0.0000
ABQ,1991,1,17.0000
ABQ,1993,11,4.0000
ABQ,1994,1,1.0000
ABQ,1995,1,2.0000
ABQ,1995,7,0.0000
ABQ,1995,8,10.0000
ABQ,1995,9,0.0000
ABQ,1996,1,0.0000
ABQ,1996,7,-5.0000
ABQ,1997,9,0.0000
ABQ,1997,10,8.0000
ABQ,1997,11,0.0000
ABQ,1997,12,10.0000
ABQ,1998,1,3.5000
ABQ,1998,3,15.0000
ABQ,1998,8,0.0000
ABQ,1999,4,2.0000
ABQ,1999,10,0.0000
ABQ,2002,6,88.0000
ABQ,2002,7,-3.0000
ABQ,2002,8,39.0000
ABQ,2002,9,6.0000
ABQ,2003,2,-4.0000
ABQ,2003,8,0.0000
ABQ,2004,6,12.0000
ABQ,2004,9,0.0000
ABQ,2005,7,15.0000
ABQ,2006,1,0.0000
ABQ,2006,6,24.5000
ABQ,2006,7,-7.0000
ABQ,2007,1,-7.0000
ABY,2006,1,-3.0000
ABY,2006,3,41.0000
AGS,1988,3,0.0000
AGS,1988,12,50.0000
AGS,2003,9,-4.0000
ALB,1988,3,-2.0000
ALB,1992,12,-3.0000
ALB,1993,10,-1.0000
ALB,1994,10,-4.0000
ALB,2003,3,-9.0000
ALB,2004,10,-10.0000
ALB,2007,6,7.0000
ALB,2008,12,21.0000
AMA,1987,11,0.0000
AMA,1988,6,0.0000
AMA,1989,11,0.0000
AMA,2000,3,0.0000
ANC,1988,10,0.0000
ANC,1992,5,0.0000
ANC,1995,10,-2.0000
ANC,1996,11,16.0000
ANC,1999,9,-3.0000
ANC,1999,10,6.0000
ANC,2000,1,0.0000
ANC,2000,7,1.0000
ANC,2000,9,50.0000
ANC,2004,3,5.0000
ANC,2006,5,6.0000
ANC,2007,4,-11.0000
ANC,2007,7,-10.0000
ANC,2008,8,-9.0000
ASE,2008,3,10.0000
ATL,1987,10,18.0000
ATL,1987,11,3.0000
ATL,1988,1,0.0000
ATL,1988,2,0.0000
ATL,1988,3,0.0000
ATL,1988,6,0.0000
ATL,1988,8,0.0000
ATL,1988,9,0.0000
ATL,1988,12,0.0000
ATL,1989,1,0.0000
ATL,1989,2,-2.0000
ATL,1989,7,42.0000
ATL,1989,9,0.0000
ATL,1989,11,0.0000
ATL,1989,12,51.0000
ATL,1990,3,41.0000
ATL,1990,4,0.0000
ATL,1990,6,2.0000
ATL,1990,7,2.0000
ATL,1990,10,1.0000
ATL,1990,11,0.0000
ATL,1990,12,18.0000
ATL,1991,1,14.0000
ATL,1991,2,-2.0000
ATL,1991,4,-1.0000
ATL,1991,5,2.0000
ATL,1991,8,4.0000
ATL,1991,9,1.0000
ATL,1991,10,2.0000
ATL,1992,2,33.0000
ATL,1992,4,-1.0000
ATL,1992,5,2.0000
ATL,1992,7,3.0000
ATL,1992,8,0.0000
ATL,1992,9,0.0000
ATL,1992,11,5.0000
ATL,1992,12,4.0000
ATL,1993,4,3.0000
ATL,1993,6,3.0000
ATL,1993,8,8.5000
ATL,1993,10,-1.0000
ATL,1993,11,1.3333
ATL,1993,12,4.0000
ATL,1994,1,3.0000
ATL,1994,3,32.5000
ATL,1994,6,11.0000
ATL,1994,7,8.0000
ATL,1994,8,0.3333
ATL,1994,9,2.5000
ATL,1994,10,5.0000
ATL,1994,11,1.0000
ATL,1994,12,28.0000
ATL,1995,3,6.5000
ATL,1995,4,0.0000
ATL,1995,5,3.0000
ATL,1995,8,8.0000
ATL,1995,10,28.0000
ATL,1996,1,10.0000
ATL,1996,5,-3.0000
ATL,1996,6,14.6667
ATL,1996,10,3.0000
ATL,1996,11,-1.0000
ATL,1997,1,-2.3333
ATL,1997,2,0.0000
ATL,1997,3,3.3333
ATL,1997,4,7.0000
ATL,1997,5,1.0000
ATL,1997,7,3.5000
ATL,1997,10,-1.0000
ATL,1998,5,-3.0000
ATL,1998,9,0.3333
ATL,1999,1,2.0000
ATL,1999,2,2.0000
ATL,1999,3,0.0000
ATL,1999,5,27.5000
ATL,1999,6,2.5000
ATL,1999,8,12.0000
ATL,1999,9,-3.0000
ATL,1999,12,2.5000
ATL,2000,1,-4.0000
ATL,2000,2,2.0000
ATL,2000,3,40.0000
ATL,2000,4,41.0000
ATL,2000,5,1.0000
ATL,2000,7,-2.0000
ATL,2000,10,6.0000
ATL,2000,11,1.0000
ATL,2001,2,-3.0000
ATL,2001,3,1.0000
ATL,2001,5,0.0000
ATL,2001,6,4.0000
ATL,2001,7,49.0000
ATL,2002,4,25.0000
ATL,2002,5,7.0000
ATL,2002,7,0.0000
ATL,2002,8,-4.0000
ATL,2002,9,1.0000
ATL,2002,10,41.0000
ATL,2002,12,2.3333
ATL,2003,1,2.0000
ATL,2003,2,2.0000
ATL,2003,3,31.0000
ATL,2003,5,5.0000
ATL,2003,6,1.0000
ATL,2003,7,20.0000
ATL,2003,8,0.0000
ATL,2003,10,-2.0000
ATL,2004,1,-3.0000
ATL,2004,2,28.5000
ATL,2004,3,7.0000
ATL,2004,5,20.3333
ATL,2004,6,38.5000
ATL,2004,7,-27.5000
ATL,2004,8,2.0000
ATL,2004,10,45.0000
ATL,2005,2,0.5000
ATL,2005,3,55.0000
ATL,2005,5,1.0000
ATL,2005,6,19.5000
ATL,2005,7,14.0000
ATL,2005,8,66.5000
ATL,2005,9,-1.6667
ATL,2005,10,-1.0000
ATL,2005,11,-4.0000
ATL,2005,12,12.0000
ATL,2006,2,34.0000
ATL,2006,4,9.0000
ATL,2006,5,0.0000
ATL,2006,7,12.6667
ATL,2006,8,8.4000
ATL,2006,9,-4.0000
ATL,2006,10,-6.0000
ATL,2006,11,6.5000
ATL,2006,12,-1.0000
ATL,2007,1,7.5000
ATL,2007,2,0.0000
ATL,2007,3,37.0000
ATL,2007,4,10.0000
ATL,2007,5,5.0000
ATL,2007,6,33.5000
ATL,2007,7,7.0000
ATL,2007,8,96.0000
ATL,2007,9,51.0000
ATL,2007,10,3.5000
ATL,2007,11,0.0000
ATL,2007,12,64.0000
ATL,2008,1,0.0000
ATL,2008,2,-5.3333
ATL,2008,3,14.3333
ATL,2008,4,30.0000
ATL,2008,5,-2.6667
ATL,2008,6,-3.0000
ATL,2008,7,-1.5000
ATL,2008,8,-2.0000
ATL,2008,9,-4.5000
ATL,2008,10,14.0000
ATW,1988,2,0.0000
ATW,2004,5,10.0000
ATW,2008,5,-5.0000
AUS,1990,4,0.0000
AUS,1990,8,-1.0000
AUS,1992,2,0.0000
AUS,1992,12,-1.0000
AUS,1993,1,0.0000
AUS,1993,6,0.0000
AUS,1995,3,35.0000
AUS,1995,7,0.0000
AUS,1997,3,0.0000
AUS,1999,7,8.0000
AUS,1999,9,-1.0000
AUS,2000,8,0.0000
AUS,2002,10,-8.0000
AUS,2003,2,0.0000
AUS,2004,11,0.0000
AUS,2005,10,0.0000
AUS,2006,4,20.0000
AUS,2007,3,-10.0000
AUS,2007,11,-4.0000
AUS,2008,1,-4.0000
AUS,2008,4,-3.5000
AVL,1994,2,-1.0000
AVL,1997,9,-5.0000
AVL,2006,11,-4.0000
AZO,2003,12,-5.0000
BDL,1988,5,-1.0000
BDL,1988,6,3.0000
BDL,1988,11,-1.0000
BDL,1988,12,20.0000
BDL,1993,8,-3.0000
BDL,1994,4,10.0000
BDL,1997,6,-3.0000
BDL,1998,5,0.0000
BDL,1998,10,-3.0000
BDL,1999,2,-2.0000
BDL,2000,5,0.0000
BDL,2000,8,28.0000
BDL,2001,8,-5.0000
BDL,2001,11,-2.0000
BDL,2001,12,26.0000
BDL,2002,11,0.0000
BDL,2003,12,0.0000
BDL,2004,9,0.0000
BDL,2005,11,1.0000
BDL,2006,9,2.0000
BDL,2006,10,-2.0000
BDL,2008,5,-4.0000
BDL,2008,12,0.0000
BET,1999,8,-2.0000
BFL,2007,10,0.0000
BGR,2004,1,60.0000
BHM,1988,1,45.0000
BHM,1988,2,-14.0000
BHM,1993,7,-1.0000
BHM,1994,11,-3.0000
BHM,1995,8,2.0000
BHM,1995,12,30.0000
BHM,1996,10,77.0000
BHM,1997,10,0.0000
BHM,1998,12,11.0000
BHM,1999,1,-2.0000
BHM,1999,7,-1.0000
BHM,1999,11,-5.0000
BHM,2000,1,-4.0000
BHM,2007,3,0.0000
BHM,2008,12,-1.0000
BIL,1988,3,9.0000
BIL,1997,3,0.0000
BIS,1989,1,7.0000
BIS,1992,7,-7.0000
BNA,1988,5,-1.0000
BNA,1989,2,-1.0000
BNA,1989,4,18.0000
BNA,1989,7,0.0000
BNA,1990,1,1.0000
BNA,1990,2,-1.0000
BNA,1991,7,-1.0000
BNA,1993,3,1.0000
BNA,1993,12,-2.0000
BNA,1994,8,-2.0000
BNA,1994,10,0.0000
BNA,1995,3,1.5000
BNA,1995,7,4.0000
BNA,1995,12,0.0000
BNA,1996,12,-5.0000
BNA,1997,6,0.0000
BNA,1997,7,41.0000
BNA,1997,9,-4.0000
BNA,1997,12,-2.0000
BNA,1999,1,35.0000
BNA,1999,6,4.0000
BNA,1999,7,-5.0000
BNA,2000,3,0.0000
BNA,2000,4,0.0000
BNA,2000,7,-4.0000
BNA,2000,8,48.0000
BNA,2000,9,2.0000
BNA,2000,10,113.0000
BNA,2001,9,9.0000
BNA,2003,3,-4.0000
BNA,2003,8,-2.0000
BNA,2004,2,0.0000
BNA,2004,3,0.0000
BNA,2004,5,0.0000
BNA,2004,9,-4.0000
BNA,2004,10,0.0000
BNA,2005,8,29.0000
BNA,2006,5,-3.0000
BNA,2006,8,-1.5000
BNA,2006,10,0.0000
BNA,2007,9,-1.0000
BNA,2008,3,22.0000
BNA,2008,10,135.0000
BNA,2008,12,-1.0000
BOI,1989,4,-1.0000
BOI,1989,5,-2.0000
BOI,1996,5,0.0000
BOI,1997,1,9.0000
BOI,1997,10,0.0000
BOI,2002,12,0.0000
BOI,2003,7,0.0000
BOI,2004,6,14.0000
BOI,2007,10,-2.0000
BOS,1987,10,0.0000
BOS,1987,11,-3.0000
BOS,1988,1,0.0000
BOS,1988,7,0.0000
BOS,1988,9,-1.0000
BOS,1988,12,-1.0000
BOS,1989,4,0.0000
BOS,1989,5,0.0000
BOS,1989,6,4.0000
BOS,1989,12,23.0000
BOS,1990,5,1.0000
BOS,1990,6,0.0000
BOS,1991,2,-1.0000
BOS,1991,4,28.5000
BOS,1991,8,6.0000
BOS,1991,9,0.0000
BOS,1991,12,1.0000
BOS,1992,1,1.0000
BOS,1992,4,43.0000
BOS,1992,5,26.5000
BOS,1993,1,6.0000
BOS,1993,4,25.0000
BOS,1993,8,0.0000
BOS,1993,12,22.0000
BOS,1994,3,11.0000
BOS,1994,4,0.0000
BOS,1994,6,0.0000
BOS,1994,7,0.0000
BOS,1994,9,32.0000
BOS,1994,11,1.0000
BOS,1995,2,0.0000
BOS,1995,3,21.0000
BOS,1995,4,5.0000
BOS,1995,5,0.0000
BOS,1995,10,5.0000
BOS,1995,11,3.5000
BOS,1995,12,0.0000
BOS,1996,2,-0.5000
BOS,1996,3,-2.0000
BOS,1996,12,49.0000
BOS,1997,4,4.5000
BOS,1997,5,0.0000
BOS,1997,6,0.0000
BOS,1998,2,6.0000
BOS,1998,4,12.0000
BOS,1998,5,-6.0000
BOS,1998,6,0.0000
BOS,1998,9,3.0000
BOS,1998,10,3.0000
BOS,1999,1,1.0000
BOS,1999,2,-3.0000
BOS,1999,4,-1.5000
BOS,1999,5,-6.0000
BOS,1999,7,42.0000
BOS,2000,7,32.0000
BOS,2000,10,0.0000
BOS,2001,1,-5.0000
BOS,2001,3,20.0000
BOS,2001,4,-4.0000
BOS,2001,6,26.0000
BOS,2001,7,17.5000
BOS,2001,9,-1.0000
BOS,2002,3,-1.0000
BOS,2002,6,3.5000
BOS,2003,1,0.0000
BOS,2003,11,-1.0000
BOS,2004,2,-5.0000
BOS,2004,11,-4.5000
BOS,2004,12,110.0000
BOS,2005,3,1.0000
BOS,2005,5,4.0000
BOS,2005,6,-6.0000
BOS,2005,7,-5.0000
BOS,2005,9,-5.0000
BOS,2005,12,-2.0000
BOS,2006,1,-3.0000
BOS,2006,5,56.0000
BOS,2006,6,-3.0000
BOS,2006,7,-2.0000
BOS,2006,12,139.0000
BOS,2007,3,27.0000
BOS,2007,10,-4.5000
BOS,2007,11,-3.0000
BOS,2007,12,-3.0000
BOS,2008,7,-3.0000
BOS,2008,8,23.0000
BOS,2008,10,0.0000
BOS,2008,11,-6.0000
BOS,2008,12,-1.0000
BTR,1988,7,0.0000
BTR,1990,2,5.0000
BTR,1991,5,-3.0000
BTR,1995,1,-1.0000
BTR,1995,12,-1.0000
BTR,2005,10,-5.0000
BTV,1987,10,-3.0000
BTV,1988,3,-8.0000
BTV,1996,10,-1.0000
BTV,1996,11,0.0000
BTV,1998,8,-5.0000
BTV,2003,9,-6.0000
BTV,2006,3,-7.0000
BTV,2007,5,-9.0000
BTV,2008,3,3.0000
BUF,1988,9,1.0000
BUF,1989,9,-2.0000
BUF,1990,11,0.0000
BUF,1990,12,-2.0000
BUF,1991,7,-2.0000
BUF,1991,10,-3.0000
BUF,1992,7,-1.0000
BUF,1993,5,0.0000
BUF,1997,8,-3.0000
BUF,1997,12,0.0000
BUF,1998,4,-2.0000
BUF,1998,11,2.0000
BUF,2000,8,6.0000
BUF,2003,11,-11.0000
BUF,2003,12,-3.0000
BUF,2005,5,-2.0000
BUF,2005,7,19.0000
BUF,2006,11,113.0000
BUF,2007,1,-4.0000
BUF,2007,4,-5.0000
BUF,2008,9,-1.0000
BUR,1987,12,0.0000
BUR,1988,8,10.0000
BUR,1988,10,25.0000
BUR,1989,2,0.0000
BUR,1990,1,0.0000
BUR,1990,7,0.0000
BUR,1991,6,-1.0000
BUR,1991,9,0.0000
BUR,1992,4,0.0000
BUR,1994,5,15.0000
BUR,1994,6,-2.0000
BUR,1994,12,0.0000
BUR,1995,7,0.0000
BUR,1999,6,0.0000
BUR,2000,6,0.0000
BUR,2003,12,35.0000
BUR,2004,6,37.0000
BUR,2005,7,28.5000
